@202.35.159.0/24 10.200.1.0/24 161 : 161 0 : 65535 0x11/0xff
@0.0.0.0/0 111.111.222.24/32 0 : 65535 80 : 80 0x06/0xff
@111.111.222.24/32 0.0.0.0/0 80 : 80 0 : 65535 0x06/0xff
@0.0.0.0/0 10.200.1.10/32 53 : 53 0 : 65535 0x11/0xff
@10.130.0.0/16 10.200.1.13/32 161 : 161 0 : 65535 0x11/0xff
@222.111.112.0/24 222.111.221.0/24 0 : 65535 0 : 65535 0x00/0x00
@222.111.112.0/24 222.111.222.0/24 0 : 65535 0 : 65535 0x00/0x00
@222.111.112.0/24 150.25.0.0/16 0 : 65535 0 : 65535 0x00/0x00
@222.111.112.0/24 204.204.50.0/24 0 : 65535 0 : 65535 0x00/0x00
@222.111.112.0/24 204.204.255.0/24 0 : 65535 0 : 65535 0x00/0x00
@222.111.112.0/24 10.120.132.0/24 0 : 65535 0 : 65535 0x00/0x00
@222.111.112.0/24 111.111.222.3/32 0 : 65535 80 : 80 0x06/0xff
@222.111.112.16/32 111.111.222.3/32 1433 : 1433 0 : 65535 0x06/0xff
@222.111.112.38/32 111.111.222.3/32 1433 : 1433 0 : 65535 0x06/0xff
@222.111.112.0/24 111.111.222.24/32 0 : 65535 1433 : 1433 0x06/0xff
@222.111.112.182/32 111.111.222.3/32 135 : 135 0 : 65535 0x11/0xff
@222.111.112.182/32 111.111.222.3/32 5000 : 5001 0 : 65535 0x06/0xff
@222.111.112.0/24 111.111.222.4/32 0 : 65535 22 : 22 0x06/0xff
@222.111.112.0/24 111.111.222.10/32 0 : 65535 23 : 23 0x06/0xff
@222.111.112.0/24 111.111.222.10/32 0 : 65535 1645 : 1646 0x11/0xff
@222.111.112.0/24 111.111.222.10/32 0 : 65535 5500 : 5500 0x11/0xff
@222.111.112.0/24 111.111.222.10/32 0 : 65535 5540 : 5540 0x11/0xff
@222.111.112.0/24 111.111.222.10/32 0 : 65535 5510 : 5510 0x06/0xff
@222.111.112.0/24 111.111.222.10/32 0 : 65535 5520 : 5520 0x06/0xff
@222.111.112.0/24 111.111.222.10/32 0 : 65535 5530 : 5530 0x06/0xff
@222.111.112.0/24 111.111.222.10/32 0 : 65535 5540 : 5540 0x06/0xff
@222.111.112.0/24 111.111.222.10/32 0 : 65535 5550 : 5550 0x06/0xff
@222.111.112.0/24 111.111.222.14/32 0 : 65535 20 : 23 0x06/0xff
@222.111.112.0/24 111.111.222.14/32 0 : 65535 25 : 25 0x06/0xff
@222.111.112.0/24 111.111.222.14/32 0 : 65535 80 : 80 0x06/0xff
@222.111.112.0/24 111.111.222.14/32 0 : 65535 109 : 110 0x06/0xff
@222.111.112.0/24 111.111.222.14/32 0 : 65535 143 : 143 0x06/0xff
@222.111.112.0/24 111.111.222.23/32 0 : 65535 22 : 22 0x06/0xff
@222.111.112.0/24 111.111.222.24/32 0 : 65535 135 : 135 0x06/0xff
@222.111.112.0/24 111.111.222.24/32 0 : 65535 137 : 137 0x11/0xff
@222.111.112.0/24 111.111.222.24/32 0 : 65535 445 : 445 0x06/0xff
@222.111.112.0/24 111.111.222.0/26 0 : 65535 0 : 65535 0x00/0x00
@222.111.112.133/32 10.130.0.0/16 1645 : 1646 0 : 65535 0x11/0xff
@222.111.112.44/32 0.0.0.0/0 0 : 65535 0 : 65535 0x00/0x00
@222.111.112.0/24 0.0.0.0/0 0 : 65535 1214 : 1214 0x06/0xff
@222.111.112.0/24 0.0.0.0/0 0 : 65535 6346 : 6346 0x06/0xff
@222.111.112.0/24 0.0.0.0/0 0 : 65535 6699 : 6699 0x06/0xff
@222.111.112.0/24 0.0.0.0/0 0 : 65535 7777 : 7777 0x06/0xff
@222.111.112.0/24 0.0.0.0/0 0 : 65535 8875 : 8875 0x06/0xff
@222.111.112.0/24 0.0.0.0/0 0 : 65535 32774 : 32774 0x06/0xff
@222.111.112.128/32 0.0.0.0/0 0 : 65535 80 : 80 0x06/0xff
@222.111.112.0/24 0.0.0.0/0 0 : 65535 0 : 65535 0x00/0x00
@222.111.221.0/24 222.111.222.0/24 0 : 65535 0 : 65535 0x00/0x00
@222.111.221.0/24 222.111.112.0/24 0 : 65535 0 : 65535 0x00/0x00
@0.0.0.0/0 0.0.0.0/0 0 : 65535 0 : 65535 0x00/0x00
